Running: /gpfs/home/tonshen/.conda/envs/MPS/bin/python /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/partition_compare_optimize.py --config /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/param.yaml --case partition_1x1 --out-dir /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/runs/20260319_partition_compare_all_seed12_lr002_sigma1_r10/partition_1x1_seed=2 --iterations 1000 --report-every 10 --init-seed 2
Preparing partition-compare case `partition_1x1`.
Iteration    0 | cost=1.28105379082 | residual=1.13183646823 | consensus=0 | error=1.37593493639
Iteration   10 | cost=1.05104467878 | residual=1.02520470092 | consensus=0 | error=1.184874263
Iteration   20 | cost=0.807001858612 | residual=0.898332821738 | consensus=0 | error=0.970808901651
Iteration   30 | cost=0.659670705574 | residual=0.812201148469 | consensus=0 | error=0.850878943589
Iteration   40 | cost=0.551921648048 | residual=0.742914293878 | consensus=0 | error=0.773681240442
Iteration   50 | cost=2.20597498661 | residual=1.48525249928 | consensus=0 | error=1.50060599073
Iteration   60 | cost=1.41917222593 | residual=1.19129015186 | consensus=0 | error=1.21117348453
Iteration   70 | cost=1.02214057097 | residual=1.01100967897 | consensus=0 | error=1.01908257868
Iteration   80 | cost=1.00028494273 | residual=1.00014246122 | consensus=0 | error=1.00178454047
Iteration   90 | cost=0.999975589793 | residual=0.999987794822 | consensus=0 | error=1.00151997588
Iteration  100 | cost=1.00012218853 | residual=1.0000610924 | consensus=0 | error=1.00192868077
Iteration  110 | cost=1.00015423533 | residual=1.00007711469 | consensus=0 | error=1.00206032057
Iteration  120 | cost=1.00009122568 | residual=1.0000456118 | consensus=0 | error=1.0020074236
Iteration  130 | cost=0.999999914503 | residual=0.999999957251 | consensus=0 | error=1.00189639683
Iteration  140 | cost=0.99991100395 | residual=0.999955500985 | consensus=0 | error=1.00178639632
Iteration  150 | cost=0.99983116226 | residual=0.999915577567 | consensus=0 | error=1.0016961894
Iteration  160 | cost=0.999756717652 | residual=0.999878351427 | consensus=0 | error=1.00162759463
Iteration  170 | cost=0.99968013346 | residual=0.999840053938 | consensus=0 | error=1.001576786
Iteration  180 | cost=0.999591930217 | residual=0.999795944289 | consensus=0 | error=1.00153867664
Iteration  190 | cost=0.999480131837 | residual=0.999740032127 | consensus=0 | error=1.00150809037
Iteration  200 | cost=0.999327793745 | residual=0.999663840371 | consensus=0 | error=1.00147935943
Iteration  210 | cost=0.99910776366 | residual=0.999553782275 | consensus=0 | error=1.00144466451
Iteration  220 | cost=0.998771624205 | residual=0.999385623373 | consensus=0 | error=1.00139021619
Iteration  230 | cost=0.998224262396 | residual=0.999111736692 | consensus=0 | error=1.00128694953
Iteration  240 | cost=0.997258478858 | residual=0.998628298647 | consensus=0 | error=1.00106491404
Iteration  250 | cost=0.995362702443 | residual=0.997678656904 | consensus=0 | error=1.00053233564
Iteration  260 | cost=0.991055742469 | residual=0.995517826294 | consensus=0 | error=0.99907490397
Iteration  270 | cost=0.979134654734 | residual=0.989512331774 | consensus=0 | error=0.99432119289
Iteration  280 | cost=0.938596603005 | residual=0.968811954409 | consensus=0 | error=0.975806724773
Iteration  290 | cost=1.09960746374 | residual=1.04862169715 | consensus=0 | error=1.053834614
Iteration  300 | cost=0.978454203842 | residual=0.989168440581 | consensus=0 | error=0.991099589471
Iteration  310 | cost=1.06343915462 | residual=1.03123186269 | consensus=0 | error=1.03500654608
Iteration  320 | cost=0.967577727983 | residual=0.983655289206 | consensus=0 | error=0.986270638149
Iteration  330 | cost=1.04589979326 | residual=1.02269242359 | consensus=0 | error=1.02555764211
Iteration  340 | cost=1.03414522351 | residual=1.01692931097 | consensus=0 | error=1.01922608446
Iteration  350 | cost=0.976806962589 | residual=0.988335450436 | consensus=0 | error=0.990260502262
Iteration  360 | cost=1.02190810218 | residual=1.01089470381 | consensus=0 | error=1.01269039709
Iteration  370 | cost=1.01777265433 | residual=1.00884719077 | consensus=0 | error=1.01051228715
Iteration  380 | cost=0.988664944204 | residual=0.994316319993 | consensus=0 | error=0.995823022147
Iteration  390 | cost=1.01827811606 | residual=1.00909767419 | consensus=0 | error=1.01077448336
Iteration  400 | cost=1.01911306084 | residual=1.00951129802 | consensus=0 | error=1.01121649038
Iteration  410 | cost=1.01985621948 | residual=1.00987930936 | consensus=0 | error=1.01160777998
Iteration  420 | cost=0.982449696373 | residual=0.991186004932 | consensus=0 | error=0.99287032798
Iteration  430 | cost=0.9824332867 | residual=0.9911777271 | consensus=0 | error=0.992865401076
Iteration  440 | cost=1.02150194323 | residual=1.01069379301 | consensus=0 | error=1.01247374711
Iteration  450 | cost=1.01735826093 | residual=1.00864179019 | consensus=0 | error=1.01029562894
Iteration  460 | cost=1.01503010908 | residual=1.00748702676 | consensus=0 | error=1.00907907885
Iteration  470 | cost=1.01407142489 | residual=1.00701113444 | consensus=0 | error=1.00857962589
Iteration  480 | cost=0.987688614651 | residual=0.993825243517 | consensus=0 | error=0.99535367369
Iteration  490 | cost=1.01563210961 | residual=1.00778574589 | consensus=0 | error=1.00939334294
Iteration  500 | cost=1.0149097886 | residual=1.00742731182 | consensus=0 | error=1.00901672225
Iteration  510 | cost=1.01401837635 | residual=1.0069847945 | consensus=0 | error=1.00855244149
Iteration  520 | cost=0.988406000532 | residual=0.994186099547 | consensus=0 | error=0.995697812887
Iteration  530 | cost=1.01830847445 | residual=1.00911271642 | consensus=0 | error=1.01079086847
Iteration  540 | cost=1.02437381223 | residual=1.01211353722 | consensus=0 | error=1.01398629393
Iteration  550 | cost=0.980226266245 | residual=0.990063768777 | consensus=0 | error=0.991837360556
