Running: /gpfs/home/tonshen/.conda/envs/MPS/bin/python /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/partition_compare_optimize.py --config /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/param.yaml --case partition_1x1 --out-dir /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/runs/20260319_partition_compare_13q_seed12_iter1000_r10/partition_1x1_seed=2 --iterations 1000 --report-every 10 --init-seed 2
Preparing partition-compare case `partition_1x1`.
Iteration    0 | cost=1.28105379082 | residual=1.13183646823 | consensus=0 | error=1.37593493639
Iteration   10 | cost=1.15563087205 | residual=1.07500273118 | consensus=0 | error=1.28196157639
Iteration   20 | cost=1.04256107953 | residual=1.02105880317 | consensus=0 | error=1.17800123779
Iteration   30 | cost=0.902949473007 | residual=0.950236535294 | consensus=0 | error=1.05638115202
Iteration   40 | cost=0.770815389382 | residual=0.877960927025 | consensus=0 | error=0.94887770196
Iteration   50 | cost=0.674821360383 | residual=0.821475112455 | consensus=0 | error=0.873068995935
Iteration   60 | cost=0.601103228868 | residual=0.775308473363 | consensus=0 | error=0.816528503175
Iteration   70 | cost=0.540250053781 | residual=0.735017043191 | consensus=0 | error=0.771889107149
Iteration   80 | cost=2.32151886631 | residual=1.52365313189 | consensus=0 | error=1.54140009638
Iteration   90 | cost=1.98705942309 | residual=1.4096309528 | consensus=0 | error=1.42596408984
Iteration  100 | cost=1.42073469183 | residual=1.19194575876 | consensus=0 | error=1.21408687651
Iteration  110 | cost=1.0898551171 | residual=1.04396126226 | consensus=0 | error=1.06271724439
Iteration  120 | cost=1.018527836 | residual=1.00922140088 | consensus=0 | error=1.02030520695
Iteration  130 | cost=1.00651221367 | residual=1.00325082291 | consensus=0 | error=1.0104631386
Iteration  140 | cost=1.00358537082 | residual=1.00179108142 | consensus=0 | error=1.00731445639
Iteration  150 | cost=1.00081923841 | residual=1.00040953535 | consensus=0 | error=1.00500531615
Iteration  160 | cost=1.00071387624 | residual=1.00035687444 | consensus=0 | error=1.00452676066
Iteration  170 | cost=1.00056804034 | residual=1.00028397985 | consensus=0 | error=1.00418158026
Iteration  180 | cost=1.00041908475 | residual=1.00020952042 | consensus=0 | error=1.00389892415
Iteration  190 | cost=1.00188180906 | residual=1.00094046229 | consensus=0 | error=1.00451057453
Iteration  200 | cost=1.00023961568 | residual=1.00011980067 | consensus=0 | error=1.00337265751
Iteration  210 | cost=1.00155670295 | residual=1.0007780488 | consensus=0 | error=1.00391029232
Iteration  220 | cost=1.00011453586 | residual=1.00005726629 | consensus=0 | error=1.00293597735
Iteration  230 | cost=1.00006621018 | residual=1.00003310454 | consensus=0 | error=1.00274565592
Iteration  240 | cost=1.00002441807 | residual=1.00001220896 | consensus=0 | error=1.00257398132
Iteration  250 | cost=1.00107306309 | residual=1.00053638769 | consensus=0 | error=1.00301490231
Iteration  260 | cost=1.00097595463 | residual=1.00048785831 | consensus=0 | error=1.00283951707
Iteration  270 | cost=0.999933507537 | residual=0.999966753216 | consensus=0 | error=1.00215815626
Iteration  280 | cost=0.999913652174 | residual=0.999956825155 | consensus=0 | error=1.00204763277
Iteration  290 | cost=1.00073097132 | residual=1.00036541889 | consensus=0 | error=1.00240858909
Iteration  300 | cost=0.999884072507 | residual=0.999942034574 | consensus=0 | error=1.00186617896
Iteration  310 | cost=0.99987471957 | residual=0.999937357823 | consensus=0 | error=1.00179092318
Iteration  320 | cost=1.00054418629 | residual=1.00027205614 | consensus=0 | error=1.00209603937
Iteration  330 | cost=1.00049325629 | residual=1.00024659774 | consensus=0 | error=1.00201396426
Iteration  340 | cost=1.00044570468 | residual=1.00022282751 | consensus=0 | error=1.00193941987
Iteration  350 | cost=0.999861432874 | residual=0.999930714037 | consensus=0 | error=1.00157696384
Iteration  360 | cost=0.999862689746 | residual=0.999931342516 | consensus=0 | error=1.00154059697
Iteration  370 | cost=1.00032921309 | residual=1.000164593 | consensus=0 | error=1.00176441596
Iteration  380 | cost=1.00029878703 | residual=1.00014938236 | consensus=0 | error=1.00172074163
Iteration  390 | cost=1.00026813311 | residual=1.00013405757 | consensus=0 | error=1.00167852418
Iteration  400 | cost=1.00024207077 | residual=1.00012102806 | consensus=0 | error=1.00164336102
Iteration  410 | cost=1.00021871556 | residual=1.0001093518 | consensus=0 | error=1.00161271384
Iteration  420 | cost=1.00019749909 | residual=1.00009874467 | consensus=0 | error=1.00158569349
Iteration  430 | cost=1.00017934116 | residual=1.00008966656 | consensus=0 | error=1.00156316528
Iteration  440 | cost=1.00016074851 | residual=1.00008037103 | consensus=0 | error=1.0015409998
