Running: /gpfs/home/tonshen/.conda/envs/MPS/bin/python /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/partition_compare_optimize.py --config /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/param.yaml --case partition_1x1 --out-dir /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/runs/20260319_partition_compare_laptoppath_uniformsmall_blocknorm_seed12_iter1000_r2/partition_1x1_seed=2 --iterations 1000 --report-every 2 --init-seed 2
Preparing partition-compare case `partition_1x1`.
Iteration  118 | cost=0.000133193236558 | residual=0.0115409374245 | consensus=0 | error=0.0135446658456
Iteration  120 | cost=0.000133197537961 | residual=0.011541123777 | consensus=0 | error=0.0135445424946
Iteration  122 | cost=0.000133196556568 | residual=0.0115410812598 | consensus=0 | error=0.0135455887654
Iteration  124 | cost=0.000133189477746 | residual=0.0115407745765 | consensus=0 | error=0.0135454759429
Iteration  126 | cost=0.000133185247281 | residual=0.0115405912915 | consensus=0 | error=0.0135443259268
Iteration  128 | cost=0.000133187599272 | residual=0.0115406931918 | consensus=0 | error=0.0135442824942
Iteration  130 | cost=0.000133186012112 | residual=0.0115406244281 | consensus=0 | error=0.0135449984179
Iteration  132 | cost=0.000133183014883 | residual=0.0115404945717 | consensus=0 | error=0.0135449489512
Iteration  134 | cost=0.000133182022573 | residual=0.0115404515791 | consensus=0 | error=0.0135442532518
Iteration  136 | cost=0.000133182504492 | residual=0.0115404724586 | consensus=0 | error=0.0135442593496
Iteration  138 | cost=0.000133181794971 | residual=0.011540441718 | consensus=0 | error=0.0135447553893
Iteration  140 | cost=0.000133180188691 | residual=0.0115403721243 | consensus=0 | error=0.0135446126316
Iteration  142 | cost=0.000133180525455 | residual=0.0115403867151 | consensus=0 | error=0.0135441931441
Iteration  144 | cost=0.000133180353313 | residual=0.0115403792568 | consensus=0 | error=0.0135442980428
Iteration  146 | cost=0.000133179588885 | residual=0.011540346137 | consensus=0 | error=0.0135446057046
Iteration  148 | cost=0.00013317955703 | residual=0.0115403447568 | consensus=0 | error=0.0135444670499
Iteration  150 | cost=0.000133179548835 | residual=0.0115403444018 | consensus=0 | error=0.013544211536
Iteration  152 | cost=0.000133179135823 | residual=0.0115403265076 | consensus=0 | error=0.0135443482647
Iteration  154 | cost=0.000133179134754 | residual=0.0115403264613 | consensus=0 | error=0.0135445180412
Iteration  156 | cost=0.000133179065425 | residual=0.0115403234574 | consensus=0 | error=0.0135443482573
Iteration  158 | cost=0.000133178969222 | residual=0.0115403192893 | consensus=0 | error=0.0135442387601
Iteration  160 | cost=0.000133178809191 | residual=0.0115403123558 | consensus=0 | error=0.0135443936744
Iteration  162 | cost=0.000133178896221 | residual=0.0115403161265 | consensus=0 | error=0.0135444485596
Iteration  164 | cost=0.000133178792294 | residual=0.0115403116237 | consensus=0 | error=0.0135443017071
Iteration  166 | cost=0.000133178715816 | residual=0.0115403083101 | consensus=0 | error=0.0135442936238
Iteration  168 | cost=0.000133178753555 | residual=0.0115403099452 | consensus=0 | error=0.0135444084018
Iteration  170 | cost=0.000133178710037 | residual=0.0115403080597 | consensus=0 | error=0.0135443743643
Iteration  172 | cost=0.000133178674115 | residual=0.0115403065034 | consensus=0 | error=0.0135442898796
Iteration  174 | cost=0.00013317866596 | residual=0.01154030615 | consensus=0 | error=0.0135443427048
Iteration  176 | cost=0.000133178675756 | residual=0.0115403065745 | consensus=0 | error=0.0135443954072
Iteration  178 | cost=0.000133178638226 | residual=0.0115403049485 | consensus=0 | error=0.0135443343767
Iteration  180 | cost=0.000133178636644 | residual=0.0115403048799 | consensus=0 | error=0.013544312038
Iteration  182 | cost=0.000133178641465 | residual=0.0115403050889 | consensus=0 | error=0.0135443667701
Iteration  184 | cost=0.000133178626689 | residual=0.0115403044487 | consensus=0 | error=0.0135443625235
Iteration  186 | cost=0.000133178620714 | residual=0.0115403041897 | consensus=0 | error=0.013544318855
Iteration  188 | cost=0.000133178621781 | residual=0.0115403042359 | consensus=0 | error=0.0135443396532
Iteration  190 | cost=0.000133178619659 | residual=0.0115403041439 | consensus=0 | error=0.0135443679664
Iteration  192 | cost=0.000133178612989 | residual=0.011540303855 | consensus=0 | error=0.0135443395637
Iteration  194 | cost=0.00013317861312 | residual=0.0115403038607 | consensus=0 | error=0.0135443276895
Iteration  196 | cost=0.000133178612598 | residual=0.0115403038381 | consensus=0 | error=0.0135443549187
Iteration  198 | cost=0.0001331786105 | residual=0.0115403037471 | consensus=0 | error=0.0135443520024
Iteration  200 | cost=0.000133178608745 | residual=0.011540303671 | consensus=0 | error=0.0135443307763
Iteration  202 | cost=0.000133178608623 | residual=0.0115403036659 | consensus=0 | error=0.0135443432504
Iteration  204 | cost=0.000133178608378 | residual=0.0115403036552 | consensus=0 | error=0.0135443554665
