[2026-03-10 13:07:58] System variant: cluster12_2x2_q2_index_qiskit
[2026-03-10 13:07:58] static_ops module: Qiskit_simulation.static_ops_2x2_cluster12_qiskit
[2026-03-10 13:07:58] local data qubits per agent: 11
[2026-03-10 13:07:58] epochs=5000, log_every=50, lr=0.01, spsa_c=0.05
[2026-03-10 13:07:58] Aer method=matrix_product_state, precision=single, max_bond_dim=8
[2026-03-10 13:07:58] Metropolis weight matrix Wm =
[[0.6666667  0.33333334]
 [0.33333334 0.6666667 ]]
[2026-03-10 13:07:58] Analytic spectrum: lambda_min=0.02000000, lambda_max=1.00000000, cond(A)=50.00000000
[2026-03-10 13:07:59] [Init] Initial Loss = 2.285124e+01
[2026-03-10 13:08:00] [Init] Residual = 1.312297e+00 | Variance(mean) = 1.176403e+00
[2026-03-10 14:13:45] [Epoch 02100] Loss = 5.698457e-01 | Residual = 1.034287e+00 | Variance(mean) = 1.996292e-08
[2026-03-10 14:15:08] [Epoch 02150] Loss = 5.629619e-01 | Residual = 1.030889e+00 | Variance(mean) = 9.744420e-09
[2026-03-10 14:16:29] [Epoch 02200] Loss = 5.551935e-01 | Residual = 1.027159e+00 | Variance(mean) = 3.086257e-09
[2026-03-10 14:17:51] [Epoch 02250] Loss = 5.482244e-01 | Residual = 1.023576e+00 | Variance(mean) = 3.331848e-09
[2026-03-10 14:19:13] [Epoch 02300] Loss = 5.421273e-01 | Residual = 1.020689e+00 | Variance(mean) = 2.391649e-09
[2026-03-10 14:20:36] [Epoch 02350] Loss = 5.364445e-01 | Residual = 1.017944e+00 | Variance(mean) = 3.683477e-09
[2026-03-10 14:21:58] [Epoch 02400] Loss = 5.321873e-01 | Residual = 1.015819e+00 | Variance(mean) = 2.201208e-09
[2026-03-10 14:23:20] [Epoch 02450] Loss = 5.290134e-01 | Residual = 1.014183e+00 | Variance(mean) = 1.781292e-09
[2026-03-10 14:24:42] [Epoch 02500] Loss = 5.255496e-01 | Residual = 1.012651e+00 | Variance(mean) = 5.247372e-09
[2026-03-10 14:26:04] [Epoch 02550] Loss = 5.229865e-01 | Residual = 1.011418e+00 | Variance(mean) = 2.080384e-09
[2026-03-10 14:27:26] [Epoch 02600] Loss = 5.203900e-01 | Residual = 1.010142e+00 | Variance(mean) = 4.633239e-09
[2026-03-10 14:28:48] [Epoch 02650] Loss = 5.183427e-01 | Residual = 1.009166e+00 | Variance(mean) = 3.326194e-09
[2026-03-10 14:30:10] [Epoch 02700] Loss = 5.159535e-01 | Residual = 1.007941e+00 | Variance(mean) = 1.129391e-09
[2026-03-10 14:31:32] [Epoch 02750] Loss = 5.140087e-01 | Residual = 1.006900e+00 | Variance(mean) = 1.232677e-09
[2026-03-10 14:32:54] [Epoch 02800] Loss = 5.120705e-01 | Residual = 1.006047e+00 | Variance(mean) = 3.122680e-09
