Running: /gpfs/home/tonshen/.conda/envs/MPS/bin/python /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/partition_compare_optimize.py --config /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/param.yaml --case partition_1x1 --out-dir /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/runs/20260319_partition_compare_laptoppath_blocknorm_seed12_iter1000_r10/partition_1x1_seed=1 --iterations 1000 --report-every 10 --init-seed 1
Preparing partition-compare case `partition_1x1`.
Iteration    0 | cost=1.39665619557 | residual=1.18180209662 | consensus=0 | error=1.38555986534
Iteration   10 | cost=1.14124006267 | residual=1.06828837992 | consensus=0 | error=1.24532091587
Iteration   20 | cost=1.026054345 | residual=1.01294340661 | consensus=0 | error=1.13574797447
Iteration   30 | cost=0.941774370435 | residual=0.970450601749 | consensus=0 | error=1.04324045449
Iteration   40 | cost=0.842907658122 | residual=0.918100026207 | consensus=0 | error=0.960505608255
Iteration   50 | cost=0.713723008066 | residual=0.844821287649 | consensus=0 | error=0.877890501236
Iteration   60 | cost=0.538630013451 | residual=0.733914173082 | consensus=0 | error=0.768599549029
Iteration   70 | cost=0.388482379996 | residual=0.623283547028 | consensus=0 | error=0.662866756203
Iteration   80 | cost=0.270151266136 | residual=0.519760777797 | consensus=0 | error=0.571584050188
Iteration   90 | cost=0.136194021838 | residual=0.369044742326 | consensus=0 | error=0.42688407352
Iteration  100 | cost=0.0430118291526 | residual=0.207392934192 | consensus=0 | error=0.256044216629
Iteration  110 | cost=0.012097013066 | residual=0.10998642219 | consensus=0 | error=0.139780441285
Iteration  120 | cost=0.00396049021199 | residual=0.0629324257602 | consensus=0 | error=0.0752649785519
Iteration  130 | cost=0.000894301517339 | residual=0.0299048744758 | consensus=0 | error=0.0338115127701
Iteration  140 | cost=0.000232571861453 | residual=0.0152503069324 | consensus=0 | error=0.0179267164783
Iteration  150 | cost=0.00024981095952 | residual=0.0158054091879 | consensus=0 | error=0.0188982995258
Iteration  160 | cost=0.000223437230664 | residual=0.0149478169223 | consensus=0 | error=0.0177762843759
Iteration  170 | cost=0.000159017552227 | residual=0.0126102161878 | consensus=0 | error=0.0149574522292
Iteration  180 | cost=0.000138961435855 | residual=0.0117881905283 | consensus=0 | error=0.0138647842978
