Running: /gpfs/home/tonshen/.conda/envs/MPS/bin/python /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/partition_compare_optimize.py --config /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/param.yaml --case partition_1x1 --out-dir /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/runs/20260319_partition_compare_laptoppath_blocknorm_seed12_iter1000_r10/partition_1x1_seed=2 --iterations 1000 --report-every 10 --init-seed 2
Preparing partition-compare case `partition_1x1`.
Iteration  600 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  610 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  620 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  630 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  640 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  650 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  660 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  670 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  680 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  690 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  700 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  710 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  720 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  730 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  740 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  750 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  760 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  770 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  780 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  790 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  800 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  810 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  820 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  830 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  840 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  850 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  860 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  870 | cost=0.000133178604958 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  880 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  890 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  900 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  910 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  920 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  930 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  940 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  950 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  960 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  970 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  980 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  990 | cost=0.000133178604962 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration 1000 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Wrote JSON report to /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/runs/20260319_partition_compare_laptoppath_blocknorm_seed12_iter1000_r10/partition_1x1_seed=2/optimize.json
Wrote markdown report to /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/runs/20260319_partition_compare_laptoppath_blocknorm_seed12_iter1000_r10/partition_1x1_seed=2/optimize_report.md
Wrote run summary to /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/runs/20260319_partition_compare_laptoppath_blocknorm_seed12_iter1000_r10/partition_1x1_seed=2/run_summary.json
