[2026-03-11 03:02:49] System variant: cluster12_stabilizer_2x2_q2_index_qiskit
[2026-03-11 03:02:49] static_ops module: Qiskit_simulation.static_ops_2x2_cluster12_stabilizer_qiskit
[2026-03-11 03:02:49] local data qubits per agent: 11
[2026-03-11 03:02:49] epochs=5000, log_every=50, lr=0.01, spsa_c=0.05
[2026-03-11 03:02:49] Aer method=matrix_product_state, precision=single, max_bond_dim=8
[2026-03-11 03:02:49] Metropolis weight matrix Wm =
[[0.6666667  0.33333334]
 [0.33333334 0.6666667 ]]
[2026-03-11 03:02:49] Analytic spectrum: lambda_min=0.02000000, lambda_max=1.00000000, cond(A)=50.00000000
[2026-03-11 03:02:50] [Init] Initial Loss = 9.596716e+00
[2026-03-11 03:02:51] [Init] Residual = 1.327377e+00 | Variance(mean) = 9.322848e-01
[2026-03-11 04:04:58] [Epoch 02050] Loss = 5.135624e-01 | Residual = 1.006647e+00 | Variance(mean) = 2.233739e-09
[2026-03-11 04:06:28] [Epoch 02100] Loss = 5.115396e-01 | Residual = 1.005643e+00 | Variance(mean) = 7.596033e-09
[2026-03-11 04:07:58] [Epoch 02150] Loss = 5.102337e-01 | Residual = 1.005040e+00 | Variance(mean) = 5.395537e-09
[2026-03-11 04:09:29] [Epoch 02200] Loss = 5.091402e-01 | Residual = 1.004468e+00 | Variance(mean) = 5.656494e-09
[2026-03-11 04:10:59] [Epoch 02250] Loss = 5.079283e-01 | Residual = 1.003891e+00 | Variance(mean) = 3.492093e-10
[2026-03-11 04:12:29] [Epoch 02300] Loss = 5.071195e-01 | Residual = 1.003507e+00 | Variance(mean) = 2.094045e-09
[2026-03-11 04:14:00] [Epoch 02350] Loss = 5.062509e-01 | Residual = 1.003081e+00 | Variance(mean) = 4.301314e-09
[2026-03-11 04:15:30] [Epoch 02400] Loss = 5.053005e-01 | Residual = 1.002605e+00 | Variance(mean) = 1.271492e-09
[2026-03-11 04:17:00] [Epoch 02450] Loss = 5.046184e-01 | Residual = 1.002273e+00 | Variance(mean) = 6.012394e-10
[2026-03-11 04:18:30] [Epoch 02500] Loss = 5.039968e-01 | Residual = 1.001955e+00 | Variance(mean) = 2.443456e-09
