Running: /gpfs/home/tonshen/.conda/envs/MPS/bin/python /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/partition_compare_optimize.py --config /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/param.yaml --case partition_1x1 --out-dir /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/runs/20260319_partition_compare_laptoppath_uniformsmall_blocknorm_seed12_iter1000_r2/partition_1x1_seed=1 --iterations 1000 --report-every 2 --init-seed 1
Preparing partition-compare case `partition_1x1`.
Iteration    0 | cost=0.014668259026 | residual=0.121112588223 | consensus=0 | error=0.14091161545
Iteration    2 | cost=0.0036218254581 | residual=0.0601816039846 | consensus=0 | error=0.0694123257269
Iteration    4 | cost=0.00135733631167 | residual=0.0368420454337 | consensus=0 | error=0.0425027837541
Iteration    6 | cost=0.00182239782488 | residual=0.0426895517071 | consensus=0 | error=0.0499371708259
Iteration    8 | cost=0.00232700603873 | residual=0.0482390509734 | consensus=0 | error=0.0559094865752
Iteration   10 | cost=0.00223362383302 | residual=0.0472612297037 | consensus=0 | error=0.0542689968557
Iteration   12 | cost=0.00160666160198 | residual=0.0400831835321 | consensus=0 | error=0.0465858447691
Iteration   14 | cost=0.000978626646936 | residual=0.0312830089188 | consensus=0 | error=0.0367345956445
Iteration   16 | cost=0.000558427621788 | residual=0.023631073227 | consensus=0 | error=0.0275544952169
Iteration   18 | cost=0.000491552401001 | residual=0.022170981058 | consensus=0 | error=0.0257018857471
Iteration   20 | cost=0.000639961223778 | residual=0.0252974548888 | consensus=0 | error=0.0292661225653
Iteration   22 | cost=0.000707390864294 | residual=0.0265968205688 | consensus=0 | error=0.0309247708536
Iteration   24 | cost=0.000591772424859 | residual=0.0243263730328 | consensus=0 | error=0.0284411370835
Iteration   26 | cost=0.000420574378238 | residual=0.02050791014 | consensus=0 | error=0.0238145631498
Iteration   28 | cost=0.00027506164116 | residual=0.0165849824007 | consensus=0 | error=0.0192685992467
Iteration   30 | cost=0.000237781014565 | residual=0.015420149631 | consensus=0 | error=0.0180937510368
Iteration   32 | cost=0.00028163258877 | residual=0.0167819125505 | consensus=0 | error=0.0195605799561
Iteration   34 | cost=0.000293226918096 | residual=0.0171238698365 | consensus=0 | error=0.0199645246133
Iteration   36 | cost=0.000266715917947 | residual=0.0163314395577 | consensus=0 | error=0.0190317180741
Iteration   38 | cost=0.000222308599043 | residual=0.0149100167378 | consensus=0 | error=0.017370296363
Iteration   40 | cost=0.000181852440233 | residual=0.0134852675283 | consensus=0 | error=0.0158393219719
Iteration   42 | cost=0.000166096853617 | residual=0.0128878568308 | consensus=0 | error=0.0151246878526
Iteration   44 | cost=0.000173370901418 | residual=0.0131670384482 | consensus=0 | error=0.0153947777916
Iteration   46 | cost=0.000185492489208 | residual=0.013619562742 | consensus=0 | error=0.0158894953011
Iteration   48 | cost=0.000178911726362 | residual=0.0133757888156 | consensus=0 | error=0.0156102429772
Iteration   50 | cost=0.000152969602191 | residual=0.0123680880603 | consensus=0 | error=0.0145227194348
Iteration   52 | cost=0.000140796028544 | residual=0.0118657502342 | consensus=0 | error=0.0139518577362
Iteration   54 | cost=0.000146529323539 | residual=0.0121049297238 | consensus=0 | error=0.0141906636425
Iteration   56 | cost=0.000153471860949 | residual=0.0123883760448 | consensus=0 | error=0.0144803942172
Iteration   58 | cost=0.000149020473832 | residual=0.0122073942309 | consensus=0 | error=0.0142862775121
Iteration   60 | cost=0.00014019655605 | residual=0.0118404626652 | consensus=0 | error=0.0139132957787
Iteration   62 | cost=0.000137323510739 | residual=0.011718511459 | consensus=0 | error=0.0137678976296
Iteration   64 | cost=0.000138380127643 | residual=0.0117635083083 | consensus=0 | error=0.0137931157461
Iteration   66 | cost=0.000139493706016 | residual=0.0118107453656 | consensus=0 | error=0.0138333401499
Iteration   68 | cost=0.000138676191367 | residual=0.011776085574 | consensus=0 | error=0.0138121218138
Iteration   70 | cost=0.000136235169082 | residual=0.0116719822292 | consensus=0 | error=0.0137083431159
Iteration   72 | cost=0.000134662292502 | residual=0.0116044083252 | consensus=0 | error=0.0136245283815
Iteration   74 | cost=0.000134996770627 | residual=0.0116188110711 | consensus=0 | error=0.0136285959699
Iteration   76 | cost=0.000135675802913 | residual=0.011647995664 | consensus=0 | error=0.0136588726551
Iteration   78 | cost=0.000134982881531 | residual=0.011618213357 | consensus=0 | error=0.013634700403
Iteration   80 | cost=0.000134119561674 | residual=0.0115810000324 | consensus=0 | error=0.0135969365795
Iteration   82 | cost=0.00013385155448 | residual=0.0115694232595 | consensus=0 | error=0.0135792486089
Iteration   84 | cost=0.000133958785811 | residual=0.0115740565874 | consensus=0 | error=0.0135779759784
Iteration   86 | cost=0.000134000723063 | residual=0.0115758681375 | consensus=0 | error=0.0135823352322
Iteration   88 | cost=0.000133779669542 | residual=0.0115663161645 | consensus=0 | error=0.013577337335
Iteration   90 | cost=0.000133525850037 | residual=0.011555338598 | consensus=0 | error=0.013564047969
Iteration   92 | cost=0.000133423532073 | residual=0.0115509104469 | consensus=0 | error=0.0135541202672
Iteration   94 | cost=0.00013348804139 | residual=0.0115537025004 | consensus=0 | error=0.0135570927627
